data-Bird_data-Select_bird,data-Bird_data-Count,PARENT_KEY,KEY
ZOPA,1,uuid:ff711781-0aa8-4fdb-9ab6-4eff2767ae0b,uuid:ff711781-0aa8-4fdb-9ab6-4eff2767ae0b/Bird_data[1]
EUAL,1,uuid:ff711781-0aa8-4fdb-9ab6-4eff2767ae0b,uuid:ff711781-0aa8-4fdb-9ab6-4eff2767ae0b/Bird_data[2]
FINI,1,uuid:ff711781-0aa8-4fdb-9ab6-4eff2767ae0b,uuid:ff711781-0aa8-4fdb-9ab6-4eff2767ae0b/Bird_data[3]
FINI,2,uuid:ac17cf44-72b6-404f-8f64-d62591713f03,uuid:ac17cf44-72b6-404f-8f64-d62591713f03/Bird_data[1]
PYJO,1,uuid:ac17cf44-72b6-404f-8f64-d62591713f03,uuid:ac17cf44-72b6-404f-8f64-d62591713f03/Bird_data[2]
ZOPA,1,uuid:ac17cf44-72b6-404f-8f64-d62591713f03,uuid:ac17cf44-72b6-404f-8f64-d62591713f03/Bird_data[3]
POHO,1,uuid:91b43285-16a5-4aa5-a559-d1a0685f99f7,uuid:91b43285-16a5-4aa5-a559-d1a0685f99f7/Bird_data[1]
ZOPA,1,uuid:91b43285-16a5-4aa5-a559-d1a0685f99f7,uuid:91b43285-16a5-4aa5-a559-d1a0685f99f7/Bird_data[2]
MOFA,2,uuid:65f9359e-47c1-4b02-b40c-a265efc051c1,uuid:65f9359e-47c1-4b02-b40c-a265efc051c1/Bird_data[1]
MOFA,3,uuid:6f62a9ad-6dec-4e32-9a5d-5e24f486bff0,uuid:6f62a9ad-6dec-4e32-9a5d-5e24f486bff0/Bird_data[1]
FINI,1,uuid:6f62a9ad-6dec-4e32-9a5d-5e24f486bff0,uuid:6f62a9ad-6dec-4e32-9a5d-5e24f486bff0/Bird_data[2]
ZOPA,2,uuid:6f62a9ad-6dec-4e32-9a5d-5e24f486bff0,uuid:6f62a9ad-6dec-4e32-9a5d-5e24f486bff0/Bird_data[3]
EUAL,1,uuid:81c57843-3e07-45f3-8e52-82286ce9725b,uuid:81c57843-3e07-45f3-8e52-82286ce9725b/Bird_data[1]
PYJO,2,uuid:81c57843-3e07-45f3-8e52-82286ce9725b,uuid:81c57843-3e07-45f3-8e52-82286ce9725b/Bird_data[2]
MOFA,2,uuid:81c57843-3e07-45f3-8e52-82286ce9725b,uuid:81c57843-3e07-45f3-8e52-82286ce9725b/Bird_data[3]
PYJO,2,uuid:81c57843-3e07-45f3-8e52-82286ce9725b,uuid:81c57843-3e07-45f3-8e52-82286ce9725b/Bird_data[4]
FINI,1,uuid:81c57843-3e07-45f3-8e52-82286ce9725b,uuid:81c57843-3e07-45f3-8e52-82286ce9725b/Bird_data[5]
SHAL,1,uuid:0ca11f15-add0-46e6-861b-83d8d9d3e875,uuid:0ca11f15-add0-46e6-861b-83d8d9d3e875/Bird_data[1]
FINI,1,uuid:0ca11f15-add0-46e6-861b-83d8d9d3e875,uuid:0ca11f15-add0-46e6-861b-83d8d9d3e875/Bird_data[2]
MOFA,1,uuid:0ca11f15-add0-46e6-861b-83d8d9d3e875,uuid:0ca11f15-add0-46e6-861b-83d8d9d3e875/Bird_data[3]
EUAL,1,uuid:0ca11f15-add0-46e6-861b-83d8d9d3e875,uuid:0ca11f15-add0-46e6-861b-83d8d9d3e875/Bird_data[4]
SHAL,1,uuid:ef89f75f-bdb1-4b00-b5c3-f2641b66112f,uuid:ef89f75f-bdb1-4b00-b5c3-f2641b66112f/Bird_data[1]
POHO,2,uuid:ef89f75f-bdb1-4b00-b5c3-f2641b66112f,uuid:ef89f75f-bdb1-4b00-b5c3-f2641b66112f/Bird_data[2]
ZOPA,1,uuid:ef89f75f-bdb1-4b00-b5c3-f2641b66112f,uuid:ef89f75f-bdb1-4b00-b5c3-f2641b66112f/Bird_data[3]
ZOPA,1,uuid:5d693c3f-e9e1-45ff-9ec8-24139e8b9416,uuid:5d693c3f-e9e1-45ff-9ec8-24139e8b9416/Bird_data[1]
FINI,1,uuid:5d693c3f-e9e1-45ff-9ec8-24139e8b9416,uuid:5d693c3f-e9e1-45ff-9ec8-24139e8b9416/Bird_data[2]
SHAL,1,uuid:5d693c3f-e9e1-45ff-9ec8-24139e8b9416,uuid:5d693c3f-e9e1-45ff-9ec8-24139e8b9416/Bird_data[3]
SHAL,1,uuid:15340d6d-8c4b-4962-a205-84a23387351a,uuid:15340d6d-8c4b-4962-a205-84a23387351a/Bird_data[1]
MOFA,1,uuid:15340d6d-8c4b-4962-a205-84a23387351a,uuid:15340d6d-8c4b-4962-a205-84a23387351a/Bird_data[2]
FINI,1,uuid:15340d6d-8c4b-4962-a205-84a23387351a,uuid:15340d6d-8c4b-4962-a205-84a23387351a/Bird_data[3]
POHO,1,uuid:15340d6d-8c4b-4962-a205-84a23387351a,uuid:15340d6d-8c4b-4962-a205-84a23387351a/Bird_data[4]
EUAL,1,uuid:15340d6d-8c4b-4962-a205-84a23387351a,uuid:15340d6d-8c4b-4962-a205-84a23387351a/Bird_data[5]
MOFA,1,uuid:a6eae807-a6b4-4c9a-9ce2-767704a30fc4,uuid:a6eae807-a6b4-4c9a-9ce2-767704a30fc4/Bird_data[1]
ZOPA,1,uuid:a6eae807-a6b4-4c9a-9ce2-767704a30fc4,uuid:a6eae807-a6b4-4c9a-9ce2-767704a30fc4/Bird_data[2]
SHAL,1,uuid:a6eae807-a6b4-4c9a-9ce2-767704a30fc4,uuid:a6eae807-a6b4-4c9a-9ce2-767704a30fc4/Bird_data[3]
SHAL,1,uuid:35e5514b-fcb0-44e9-8fa1-699689b81fe3,uuid:35e5514b-fcb0-44e9-8fa1-699689b81fe3/Bird_data[1]
MOFA,1,uuid:35e5514b-fcb0-44e9-8fa1-699689b81fe3,uuid:35e5514b-fcb0-44e9-8fa1-699689b81fe3/Bird_data[2]
ZOPA,1,uuid:35e5514b-fcb0-44e9-8fa1-699689b81fe3,uuid:35e5514b-fcb0-44e9-8fa1-699689b81fe3/Bird_data[3]
MOFA,1,uuid:47c3d196-07ad-47c1-a5c3-28667c3b6734,uuid:47c3d196-07ad-47c1-a5c3-28667c3b6734/Bird_data[1]
FINI,1,uuid:47c3d196-07ad-47c1-a5c3-28667c3b6734,uuid:47c3d196-07ad-47c1-a5c3-28667c3b6734/Bird_data[2]
FINI,1,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7/Bird_data[1]
SHAL,2,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7/Bird_data[2]
ZOPA,1,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7/Bird_data[3]
MOFA,2,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7/Bird_data[4]
SHAL,1,uuid:18e19174-44a7-434e-a703-7905551276c5,uuid:18e19174-44a7-434e-a703-7905551276c5/Bird_data[1]
FINI,1,uuid:18e19174-44a7-434e-a703-7905551276c5,uuid:18e19174-44a7-434e-a703-7905551276c5/Bird_data[2]
MOFA,2,uuid:18e19174-44a7-434e-a703-7905551276c5,uuid:18e19174-44a7-434e-a703-7905551276c5/Bird_data[3]
EUAL,1,uuid:18e19174-44a7-434e-a703-7905551276c5,uuid:18e19174-44a7-434e-a703-7905551276c5/Bird_data[4]
MOFA,1,uuid:82e7fd38-3839-4d70-a863-3cb6fad912d5,uuid:82e7fd38-3839-4d70-a863-3cb6fad912d5/Bird_data[1]
SHAL,2,uuid:82e7fd38-3839-4d70-a863-3cb6fad912d5,uuid:82e7fd38-3839-4d70-a863-3cb6fad912d5/Bird_data[2]
SHAL,1,uuid:c89699a9-5f42-43de-978f-2c41ddd52689,uuid:c89699a9-5f42-43de-978f-2c41ddd52689/Bird_data[1]
POHO,1,uuid:c89699a9-5f42-43de-978f-2c41ddd52689,uuid:c89699a9-5f42-43de-978f-2c41ddd52689/Bird_data[2]
MOFA,1,uuid:c89699a9-5f42-43de-978f-2c41ddd52689,uuid:c89699a9-5f42-43de-978f-2c41ddd52689/Bird_data[3]
EUAL,1,uuid:c89699a9-5f42-43de-978f-2c41ddd52689,uuid:c89699a9-5f42-43de-978f-2c41ddd52689/Bird_data[4]
